Allied,7.1,Action,Robert Zemeckis,Brad Pitt,Marion Cotillard,106000000,40098064,119266661,"Nov 23, 2016"
Almost Christmas,6.1,Comedy,David E. Talbert,Kimberly Elise,Omar Epps,17000000,42065185,42493506,"Nov 11, 2016"
Almost Famous,7.9,Adventure,Cameron Crowe,Billy Crudup,Patrick Fugit,60000000,32522352,47371191,"Sep 15, 2000"
Aloha,5.4,Comedy,Cameron Crowe,Bradley Cooper,Rachel McAdams,37000000,21052030,25387091,"May 29, 2015"
Alone in the Dark,2.3,Action,Uwe Boll,Christian Slater,Tara Reid,20000000,5178569,10588079,"Jan 28, 2005"
Along Came a Spider,6.4,Drama,Lee Tamahori,Morgan Freeman,Michael Wincott,28000000,74058698,105159085,"Apr 6, 2001"
Along Came Polly,5.9,Comedy,John Hamburg,Ben Stiller,Jennifer Aniston,42000000,88073507,173044410,"Jan 16, 2004"
Alpha,6.7,Adventure,Albert Hughes,Kodi Smit-McPhee,Jahannes Haukur Jahannesson,51000000,35851379,99624873,"Aug 17, 2018"
Alvin and the Chipmunks,5.2,Animation,Tim Hill,Jason Lee,Ross Bagdasarian Jr.,55000000,217326974,362605033,"Dec 14, 2007"
Alvin and the Chipmunks: Chipwrecked,4.3,Animation,Mike Mitchell,Justin Long,Matthew Gray Gubler,80000000,133107389,349088523,"Dec 16, 2011"
Alvin and the Chipmunks: The Road Chip,5,Animation,Walt Becker,Jason Lee,Justin Long,90000000,85886987,249517956,"Dec 18, 2015"
Alvin and the Chipmunks: The Squeakquel,4.5,Animation,Betty Thomas,Jason Lee,Zachary Levi,70000000,219614612,443483213,"Dec 23, 2009"
Amelia,5.8,Adventure,Mira Nair,Hilary Swank,Richard Gere,40000000,14279575,19756077,"Oct 23, 2009"
America's Sweethearts,5.7,Comedy,Joe Roth,Julia Roberts,John Cusack,46000000,93607673,160648493,"Jul 20, 2001"
American Assassin,6.2,Action,Michael Cuesta,Dylan O'Brien,Michael Keaton,63000000,36249674,68310140,"Sep 15, 2017"
American Dreamz,5.4,Comedy,Paul Weitz,Hugh Grant,Dennis Quaid,17000000,7314027,16510971,"Apr 21, 2006"
American Gangster,7.8,Biography,Ridley Scott,Denzel Washington,Russell Crowe,100000000,130164645,267985456,"Nov 2, 2007"
American Heist,5.1,Action,Sarik Andreasyan,Hayden Christensen,Adrien Brody,10000000,0,2341218,"Jul 21, 2015"
American Honey,7,Adventure,Andrea Arnold,Sasha Lane,Shia LaBeouf,3500000,663247,2611750,"Sep 30, 2016"
American Hustle,7.2,Crime,David O. Russell,Christian Bale,Amy Adams,40000000,150117807,257878294,"Dec 13, 2013"
American Made,7.2,Action,Doug Liman,Tom Cruise,Domhnall Gleeson,50000000,51342000,135569212,"Sep 29, 2017"
American Outlaws,6,Action,Les Mayfield,Colin Farrell,Scott Caan,35000000,13264986,13601109,"Aug 17, 2001"
American Pie 2,6.4,Comedy,J.B. Rogers,Jason Biggs,Seann William Scott,30000000,145096820,286500000,"Aug 10, 2001"
American Psycho,7.6,Crime,Mary Harron,Christian Bale,Justin Theroux,8000000,15070285,34270285,"Apr 14, 2000"
American Reunion,6.7,Comedy,Hayden Schlossberg,Jon Hurwitz,Alyson Hannigan,50000000,56758835,236799211,"Apr 6, 2012"
American Sniper,7.3,Action,Clint Eastwood,Bradley Cooper,Sienna Miller,58000000,350126372,547326372,"Dec 25, 2014"
American Splendor,7.5,Biography,Robert Pulcini,Shari Springer Berman,Shari Springer Berman,2000000,6003587,8685632,"Aug 15, 2003"
American Ultra,6.1,Action,Nima Nourizadeh,Jesse Eisenberg,Kristen Stewart,28000000,14439985,30295028,"Aug 21, 2015"
American Wedding,6.3,Comedy,Jesse Dylan,Jason Biggs,Alyson Hannigan,55000000,104354205,126425115,"Aug 1, 2003"
Amores perros,8.1,Drama,Alejandro G. Inarritu,Emilio Echevarria,Gael Garcia Bernal,2000000,5383834,20883834,"Mar 30, 2001"
Amour,7.9,Drama,Michael Haneke,Jean-Louis Trintignant,Emmanuelle Riva,9700000,6738954,36787044,"Dec 19, 2012"
An American Carol,4.2,Comedy,David Zucker,Kevin P. Farley,Kelsey Grammer,20000000,7013191,7022183,"Oct 3, 2008"
An American Haunting,5,Drama,Courtney Solomon,Donald Sutherland,Sissy Spacek,14000000,16298046,30443277,"May 5, 2006"
An Education,7.3,Drama,Lone Scherfig,Carey Mulligan,Peter Sarsgaard,7500000,12574914,29652736,"Oct 9, 2009"
An Unfinished Life,7,Drama,Lasse Hallstrom,Jennifer Lopez,Robert Redford,30000000,8535575,18535575,"Sep 9, 2005"
Anacondas: The Hunt for the Blood Orchid,4.6,Action,Dwight H. Little,Morris Chestnut,KaDee Strickland,25000000,31526393,70326393,"Aug 27, 2004"
Analyze That,5.9,Comedy,Harold Ramis,Robert De Niro,Billy Crystal,60000000,32122249,54994757,"Dec 6, 2002"
Anchorman 2: The Legend Continues,6.3,Comedy,Adam McKay,Will Ferrell,Christina Applegate,50000000,127352707,172185754,"Dec 18, 2013"
Anchorman: The Legend of Ron Burgundy,7.2,Comedy,Adam McKay,Will Ferrell,Christina Applegate,25000000,84136909,89476265,"Jul 9, 2004"
And So It Goes,5.8,Comedy,Rob Reiner,Michael Douglas,Diane Keaton,18000000,15160801,17920013,"Jul 25, 2014"
Angel Eyes,5.6,Drama,Luis Mandoki,Jennifer Lopez,Jim Caviezel,38000000,24044532,29544532,"May 18, 2001"
Angels & Demons,6.7,Mystery,Ron Howard,Tom Hanks,Ewan McGregor,150000000,133375846,490875846,"May 15, 2009"
Anger Management,6.2,Comedy,Peter Segal,Jack Nicholson,Adam Sandler,56000000,135560942,195660942,"Apr 11, 2003"
Animal Kingdom,7.3,Crime,David Mich��d,James Frecheville,Guy Pearce,4200000,1044039,8078683,"Aug 13, 2010"
Anna,6.6,Action,Luc Besson,Sasha Luss,Helen Mirren,30000000,7733123,23889793,"Jun 21, 2019"
Anna,6.5,Drama,Jorge Dorado,Mark Strong,Taissa Farmiga,30000000,7733123,23889793,"Jun 21, 2019"
Anna Karenina,6.6,Drama,Joe Wright,Keira Knightley,Jude Law,49000000,12816367,71004627,"Nov 16, 2012"
Annabelle,5.4,Horror,John R. Leonetti,Ward Horton,Annabelle Wallis,6500000,84273813,256862920,"Oct 3, 2014"
Annabelle: Creation,6.5,Horror,David F. Sandberg,Anthony LaPaglia,Samara Lee,15000000,102092201,305384865,"Aug 11, 2017"
Annie,5.3,Comedy,Will Gluck,Quvenzhane Wallis,Cameron Diaz,65000000,85911262,139829625,"Dec 19, 2014"
Annihilation,6.9,Adventure,Alex Garland,Natalie Portman,Jennifer Jason Leigh,55000000,32732301,43070915,"Feb 23, 2018"
Anomalisa,7.3,Animation,Charlie Kaufman,Duke Johnson,Jennifer Jason Leigh,8000000,3759286,5706168,"Dec 30, 2015"
Anonymous,6.9,Drama,Roland Emmerich,Rhys Ifans,Vanessa Redgrave,27500000,4463292,15815509,"Oct 28, 2011"
Another Earth,7,Drama,Mike Cahill,Brit Marling,William Mapother,175000,1321194,2102779,"Jul 22, 2011"
Another Year,7.3,Comedy,Mike Leigh,Jim Broadbent,Ruth Sheen,8000000,3205706,20005613,"Dec 29, 2010"
Ant-Man,7.3,Action,Peyton Reed,Paul Rudd,Michael Douglas,130000000,180202163,518858449,"Jul 17, 2015"
Ant-Man and the Wasp,7.1,Action,Peyton Reed,Paul Rudd,Evangeline Lilly,130000000,216648740,623144660,"Jul 6, 2018"
Antitrust,6.1,Action,Peter Howitt,Ryan Phillippe,Tim Robbins,30000000,10965209,17865209,"Jan 12, 2001"
Antiviral,5.7,Horror,Brandon Cronenberg,Caleb Landry Jones,Lisa Berry,3100000,0,123407,"Apr 12, 2013"
Anything Else,6.4,Comedy,Woody Allen,Woody Allen,Jason Biggs,18000000,3203044,13203044,"Sep 19, 2003"
Apocalypto,7.8,Action,Mel Gibson,Gerardo Taracena,Raoul Max Trujillo,40000000,50866635,121032272,"Dec 8, 2006"
Apollo 18,5.2,Horror,Gonzalo Lapez-Gallego,Warren Christie,Lloyd Owen,5000000,17686929,26517819,"Sep 2, 2011"
Appaloosa,6.7,Action,Ed Harris,Ed Harris,Viggo Mortensen,20000000,20211394,27911453,"Sep 19, 2008"
Aqua Teen Hunger Force Colon Movie Film for Theaters,6.8,Animation,Dave Willis,Matt Maiellaro,Dave Willis,750000,5520368,5520368,"Apr 13, 2007"
Aquaman,7.1,Action,James Wan,Jason Momoa,Amber Heard,160000000,335061807,1146894640,"Dec 21, 2018"
Aquamarine,5.3,Comedy,Elizabeth Allen Rosenbaum,Emma Roberts,JoJo,12000000,18597342,22978953,"Mar 3, 2006"
Arbitrage,6.6,Drama,Nicholas Jarecki,Richard Gere,Susan Sarandon,12000000,7919574,35830713,"Sep 14, 2012"
Are We There Yet?,4.7,Adventure,Brian Levant,Ice Cube,Nia Long,20000000,82674398,98114471,"Jan 21, 2005"
Area 51,4.2,Horror,Oren Peli,Reid Warner,Darrin Bragg,5000000,7556,7556,"May 15, 2015"
Argo,7.7,Biography,Ben Affleck,Ben Affleck,Bryan Cranston,44500000,136025503,227140757,"Oct 12, 2012"
Armored,5.7,Action,Nimrad Antal,Columbus Short,Matt Dillon,20000000,15988876,23661038,"Dec 4, 2009"
Around the World in 80 Days,5.9,Action,Frank Coraci,Jackie Chan,Steve Coogan,110000000,24004159,72004159,"Jun 16, 2004"
Arrival,7.9,Drama,Denis Villeneuve,Amy Adams,Jeremy Renner,47000000,100546139,203127894,"Nov 11, 2016"
Arthur,5.7,Comedy,Jason Winer,Russell Brand,Helen Mirren,40000000,33035397,47787943,"Apr 8, 2011"
Arthur Christmas,7.1,Animation,Barry Cook,Sarah Smith,Jim Broadbent,85000000,46462469,149717124,"Nov 23, 2011"
